[2022-11-08 20:41:49.274] [info]  Hello
[2022-11-08 20:41:49.277] [warn]  Problem
[2022-11-08 20:41:49.474] [info]  Checking for update...
[2022-11-08 20:41:52.125] [info]  Update available...
[2022-11-08 20:41:54.673] [info]  Downloading in progress...
[2022-11-08 20:41:54.674] [info]  Download speed: 4094750 - Downloaded 4.635457272006282% (4102939/88512066)
[2022-11-08 20:41:55.673] [info]  Downloading in progress...
[2022-11-08 20:41:55.674] [info]  Download speed: 10331442 - Downloaded 23.3680535713628% (20683547/88512066)
[2022-11-08 20:41:56.803] [info]  Downloading in progress...
[2022-11-08 20:41:56.807] [info]  Download speed: 11341160 - Downloaded 40.13070037253452% (35520512/88512066)
[2022-11-08 20:41:57.871] [info]  Downloading in progress...
[2022-11-08 20:41:57.879] [info]  Download speed: 9947429 - Downloaded 47.20170016142206% (41779200/88512066)
[2022-11-08 20:41:58.949] [info]  Downloading in progress...
[2022-11-08 20:41:58.951] [info]  Download speed: 8755557 - Downloaded 52.20963659350127% (46211828/88512066)
[2022-11-08 20:42:00.014] [info]  Downloading in progress...
[2022-11-08 20:42:00.015] [info]  Download speed: 8403926 - Downloaded 60.22467038561725% (53306100/88512066)
[2022-11-08 20:42:01.099] [info]  Downloading in progress...
[2022-11-08 20:42:01.102] [info]  Download speed: 8117006 - Downloaded 68.11853199766007% (60293120/88512066)
[2022-11-08 20:42:02.161] [info]  Downloading in progress...
[2022-11-08 20:42:02.162] [info]  Download speed: 7779021 - Downloaded 74.61568686013949% (66043886/88512066)
[2022-11-08 20:42:03.224] [info]  Downloading in progress...
[2022-11-08 20:42:03.227] [info]  Download speed: 7268438 - Downloaded 78.44737462121832% (69435392/88512066)
[2022-11-08 20:42:04.287] [info]  Downloading in progress...
[2022-11-08 20:42:04.288] [info]  Download speed: 6872452 - Downloaded 82.42712581129899% (72957952/88512066)
[2022-11-08 20:42:05.348] [info]  Downloading in progress...
[2022-11-08 20:42:05.351] [info]  Download speed: 6545462 - Downloaded 86.35134558942507% (76431360/88512066)
[2022-11-08 20:42:06.416] [info]  Downloading in progress...
[2022-11-08 20:42:06.417] [info]  Download speed: 6326062 - Downloaded 91.0900260762188% (80625664/88512066)
[2022-11-08 20:42:07.475] [info]  Downloading in progress...
[2022-11-08 20:42:07.477] [info]  Download speed: 6146967 - Downloaded 95.86572750431563% (84852736/88512066)
[2022-11-08 20:42:08.332] [info]  Downloading in progress...
[2022-11-08 20:42:08.332] [info]  Download speed: 6037246 - Downloaded 100% (88512066/88512066)
[2022-11-08 20:42:08.337] [info]  Update downloaded!
